week,pairing
1,"('Ferdi', 'Steffen')"
1,"('Keanu', 'Minu')"
1,"('Paul', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
1,"('Lysander', 'Patrick Leeger')"
1,"('Dario', 'Gab')"
1,"('Patrick Swoaznegger', 'Danny')"
2,"('Steffen', 'Lysander')"
2,"('Ferdi', 'Danny')"
2,"('Minu', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
2,"('Keanu', 'Gab')"
2,"('Dario', 'Patrick Leeger')"
2,"('Patrick Swoaznegger', 'Paul')"
3,"('Minu', 'Danny')"
3,"('Patrick Swoaznegger', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
3,"('Gab', 'Paul')"
3,"('Ferdi', 'Lysander')"
3,"('Dario', 'Keanu')"
3,"('Steffen', 'Patrick Leeger')"
4,"('Danny', 'Patrick Leeger')"
4,"('Lysander', 'Minu')"
4,"('Ferdi', 'Patrick Swoaznegger')"
4,"('Keanu', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
4,"('Dario', 'Paul')"
4,"('Steffen', 'Gab')"
5,"('Dario', 'Minu')"
5,"('Ferdi', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
5,"('Steffen', 'Patrick Swoaznegger')"
5,"('Gab', 'Danny')"
5,"('Keanu', 'Lysander')"
5,"('Paul', 'Patrick Leeger')"
6,"('Paul', 'Minu')"
6,"('Ferdi', 'Gab')"
6,"('Lysander', 'Danny')"
6,"('Dario', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
6,"('Patrick Swoaznegger', 'Patrick Leeger')"
6,"('Keanu', 'Steffen')"
7,"('Dario', 'Ferdi')"
7,"('Lysander', 'Paul')"
7,"('Patrick Swoaznegger', 'Minu')"
7,"('Gab', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
7,"('Keanu', 'Patrick Leeger')"
7,"('Steffen', 'Danny')"
8,"('Ferdi', 'Minu')"
8,"('Dario', 'Danny')"
8,"('Lysander', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
8,"('Steffen', 'Paul')"
8,"('Gab', 'Patrick Leeger')"
8,"('Keanu', 'Patrick Swoaznegger')"
9,"('Ferdi', 'Keanu')"
9,"('Minu', 'Patrick Leeger')"
9,"('Lysander', 'Gab')"
9,"('Dario', 'Patrick Swoaznegger')"
9,"('Paul', 'Danny')"
9,"('Steffen', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
10,"('Patrick Leeger', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
10,"('Keanu', 'Danny')"
10,"('Patrick Swoaznegger', 'Gab')"
10,"('Steffen', 'Minu')"
10,"('Dario', 'Lysander')"
10,"('Ferdi', 'Paul')"
11,"('Ferdi', 'Patrick Leeger')"
11,"('Danny', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
11,"('Patrick Swoaznegger', 'Lysander')"
11,"('Dario', 'Steffen')"
11,"('Keanu', 'Paul')"
11,"('Gab', 'Minu')"
12,"('Ferdi', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
12,"('Dario', 'Keanu')"
12,"('Lysander', 'Gab')"
12,"('Patrick Swoaznegger', 'Paul')"
12,"('Steffen', 'Danny')"
12,"('Minu', 'Patrick Leeger')"
13,"('Dario', 'Danny')"
13,"('Ferdi', 'Patrick Swoaznegger')"
13,"('Keanu', 'Steffen')"
13,"('Gab', 'Patrick Leeger')"
13,"('Paul', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
13,"('Lysander', 'Minu')"
14,"('Keanu', 'Danny')"
14,"('Dario', 'Steffen')"
14,"('Patrick Swoaznegger', 'Jakki (with a heavy dose of Till trash talk if we win a game)')"
14,"('Gab', 'Minu')"
14,"('Lysander', 'Patrick Leeger')"
14,"('Ferdi', 'Paul')"
